"EAST","NORTH","ELEV","AREA","CU","ZN","MO","FE"
3535.99,5320.72,3975.5,426,0.05,0.01,0.038,1.32
3539.53,5317.19,3975.5,426,0.04,0.01,0.038,1.27
3528.92,5334.86,3975.5,195,0.44,0.02,0.029,5.11
3532.46,5331.33,3975.5,426,0.08,0.02,0.032,3.86
3535.99,5327.79,3975.5,426,0.06,0.01,0.039,1.8
3539.53,5324.26,3975.5,426,0.05,0.01,0.039,1.18
3528.92,5341.94,3975.5,195,0.41,0.02,0.037,3.63
3532.46,5338.4,3975.5,195,0.47,0.02,0.031,5.95
3535.99,5334.86,3975.5,426,0.06,0.02,0.037,3.88
3525.39,5352.54,3975.5,195,0.34,0.02,0.056,2.49
3528.92,5349.01,3975.5,195,0.31,0.02,0.045,3.11
3532.46,5345.47,3975.5,195,0.27,0.02,0.045,2.08
3535.99,5341.94,3975.5,195,0.4,0.02,0.038,3.5
3525.39,5359.61,3975.5,378,0.07,0.01,0.045,1.31
3528.92,5356.08,3975.5,195,0.09,0.01,0.045,1.66
3532.46,5352.54,3975.5,195,0.35,0.01,0.047,3.72
3535.99,5349.01,3975.5,195,0.32,0.01,0.05,2.1
3521.85,5370.22,3975.5,378,0.07,0.01,0.032,1.19
3525.39,5366.68,3975.5,378,0.06,0.01,0.042,1.07
3528.92,5363.15,3975.5,378,0.07,0.02,0.048,0.87
3532.46,5359.61,3975.5,378,0.07,0.02,0.042,1.12
3535.99,5356.08,3975.5,195,0.31,0.01,0.039,2.05
3521.85,5377.29,3975.5,378,0.08,0.02,0.029,1.23
3525.39,5373.76,3975.5,378,0.07,0.02,0.029,1.2
3528.92,5370.22,3975.5,378,0.07,0.02,0.037,1.25
3532.46,5366.68,3975.5,378,0.09,0.03,0.038,2
3518.31,5387.9,3975.5,175,0.2,0.02,0.022,1.67
3521.85,5384.36,3975.5,175,0.22,0.02,0.022,2.33
3525.39,5380.83,3975.5,378,0.09,0.01,0.023,1.24
3528.92,5377.29,3975.5,378,0.08,0.02,0.027,1.41
3532.46,5373.76,3975.5,378,0.09,0.02,0.029,2.11
3574.88,5331.33,3975.5,179,1.18,0.02,0.02,7.05
3578.42,5327.79,3975.5,179,1.08,0.03,0.032,6.75
3581.95,5324.26,3975.5,345,1.04,0.03,0.077,7.63
3585.49,5320.72,3975.5,345,0.94,0.02,0.1,7.09
3589.03,5317.19,3975.5,345,1.03,0.03,0.106,7.22
3592.56,5313.65,3975.5,345,1.06,0.02,0.075,4.61
3596.1,5310.12,3975.5,345,0.27,0.02,0.073,2.25
3599.63,5306.58,3975.5,345,0.29,0.02,0.074,2.2
3603.17,5303.04,3975.5,345,0.31,0.01,0.074,3.14
3606.7,5299.51,3975.5,345,0.1,0.01,0.078,2.58
3518.31,5394.97,3975.5,175,0.19,0.01,0.024,1.55
3521.85,5391.43,3975.5,175,0.18,0.01,0.023,1.18
3525.39,5387.9,3975.5,175,0.2,0.02,0.023,1.8
3528.92,5384.36,3975.5,378,0.08,0.01,0.022,1.5
3574.88,5338.4,3975.5,179,0.36,0.02,0.025,3.17
3578.42,5334.86,3975.5,179,1.19,0.03,0.029,7.85
3581.95,5331.33,3975.5,179,1.22,0.03,0.036,7.99
3585.49,5327.79,3975.5,345,0.91,0.02,0.049,6.31
3589.03,5324.26,3975.5,345,0.91,0.02,0.058,8.53
3596.1,5317.19,3975.5,345,0.28,0.01,0.069,1.48
3599.63,5313.65,3975.5,345,0.23,0.01,0.07,1.58
3603.17,5310.12,3975.5,345,0.38,0.01,0.071,3.57
3606.7,5306.58,3975.5,345,0.45,0.01,0.077,3.63
3610.24,5303.04,3975.5,20,0.1,0.01,0.083,1.44
3613.77,5299.51,3975.5,20,0.1,0.01,0.101,1.23
3617.31,5295.97,3975.5,20,0.09,0.01,0.108,2.13
3620.85,5292.44,3975.5,20,0.08,0.01,0.13,1.12
3624.38,5288.9,3975.5,20,0.07,0.01,0.143,0.98
3514.78,5405.57,3975.5,175,0.43,0.03,0.025,3.59
3518.31,5402.04,3975.5,175,0.33,0.02,0.028,1.92
3521.85,5398.5,3975.5,175,0.21,0.01,0.027,2.04
3525.39,5394.97,3975.5,175,0.09,0.01,0.025,1.37
3528.92,5391.43,3975.5,175,0.08,0.01,0.027,1.08
3571.35,5349.01,3975.5,286,0.07,0.01,0.032,1.46
3574.88,5345.47,3975.5,286,0.07,0.03,0.025,5.42
3578.42,5341.94,3975.5,179,1.09,0.04,0.023,9.33
3581.95,5338.4,3975.5,179,1.09,0.04,0.029,9.21
3585.49,5334.86,3975.5,179,1.2,0.03,0.04,8.03
3620.85,5299.51,3975.5,20,0.08,0.01,0.147,0.91
3624.38,5295.97,3975.5,20,0.07,0.01,0.147,0.93
3627.92,5292.44,3975.5,20,0.07,0.01,0.152,1.1
3631.45,5288.9,3975.5,20,0.06,0.01,0.145,0.97
3634.99,5285.37,3975.5,20,0.06,0.01,0.13,0.88
3638.52,5281.83,3975.5,20,0.06,0.01,0.112,0.84
3642.06,5278.3,3975.5,20,0.07,0.01,0.104,1.02
3645.59,5274.76,3975.5,335,0.07,0.01,0.088,1.13
3514.78,5412.65,3975.5,175,0.47,0.05,0.013,8.3
3518.31,5409.11,3975.5,175,0.46,0.03,0.027,4.11
3521.85,5405.57,3975.5,175,0.31,0.02,0.027,2.79
3525.39,5402.04,3975.5,175,0.09,0.01,0.025,1.36
3567.81,5359.61,3975.5,286,0.04,0.01,0.037,1.02
3571.35,5356.08,3975.5,286,0.06,0.02,0.03,2.83
3574.88,5352.54,3975.5,286,0.08,0.03,0.019,8.9
3578.42,5349.01,3975.5,179,1.03,0.04,0.017,10.17
3581.95,5345.47,3975.5,179,1.1,0.04,0.019,9.61
3642.06,5285.37,3975.5,20,0.06,0.01,0.108,0.82
3645.59,5281.83,3975.5,20,0.07,0.01,0.105,1.01
3649.13,5278.3,3975.5,335,0.06,0.01,0.105,1.1
3652.66,5274.76,3975.5,335,0.06,0.01,0.072,0.9
3656.2,5271.22,3975.5,335,0.06,0.03,0.05,1.12
3659.74,5267.69,3975.5,430,0.3,0.06,0.044,1.84
3663.27,5264.15,3975.5,430,0.43,0.09,0.041,4.02
3666.81,5260.62,3975.5,430,0.33,0.13,0.038,4.66
3511.24,5423.25,3975.5,175,0.53,0.04,0.021,9.83
3514.78,5419.72,3975.5,175,0.46,0.04,0.015,9.63
3518.31,5416.18,3975.5,175,0.51,0.04,0.024,11.82
3521.85,5412.65,3975.5,175,0.48,0.02,0.055,2.76
3567.81,5366.68,3975.5,286,0.03,0.01,0.041,1.8
3571.35,5363.15,3975.5,286,0.04,0.02,0.04,3.92
3574.88,5359.61,3975.5,179,1.36,0.03,0.025,10.25
3578.42,5356.08,3975.5,179,1.25,0.03,0.017,10.06
3581.95,5352.54,3975.5,179,1.09,0.03,0.022,10.27
3663.27,5271.22,3975.5,430,0.28,0.09,0.043,1.93
3666.81,5267.69,3975.5,430,0.42,0.19,0.037,6.45
3670.34,5264.15,3975.5,430,0.43,0.07,0.039,6.63
3673.88,5260.62,3975.5,430,0.4,0.03,0.039,2.88
3677.41,5257.08,3975.5,430,0.28,0.01,0.04,1.9
3511.24,5430.32,3975.5,175,0.99,0.06,0.03,13.44
3514.78,5426.79,3975.5,175,0.52,0.04,0.036,8.57
3518.31,5423.25,3975.5,175,0.46,0.04,0.023,8.9
3564.28,5377.29,3975.5,179,0.03,0.02,0.044,1.31
3567.81,5373.76,3975.5,286,0.03,0.02,0.033,4.62
3571.35,5370.22,3975.5,179,0.03,0.03,0.044,7.98
3574.88,5366.68,3975.5,179,0.55,0.02,0.04,5.18
3578.42,5363.15,3975.5,179,1.01,0.03,0.028,6.19
3677.41,5264.15,3975.5,430,0.27,0.01,0.038,1.03
3680.95,5260.62,3975.5,430,0.3,0.01,0.039,1.68
3507.71,5440.93,3975.5,175,1.02,0.06,0.006,22.42
3511.24,5437.39,3975.5,175,1.06,0.06,0.008,19.96
3514.78,5433.86,3975.5,175,1.08,0.06,0.022,16.05
3518.31,5430.32,3975.5,175,0.49,0.05,0.032,8.94
3567.81,5380.83,3975.5,179,0.23,0.03,0.039,10.15
3571.35,5377.29,3975.5,179,1.88,0.04,0.032,10.31
3574.88,5373.76,3975.5,179,1.15,0.03,0.047,5.64
3507.71,5448,3975.5,175,1.03,0.07,0.002,26.12
3511.24,5444.47,3975.5,175,1.01,0.05,0.003,24.54
3514.78,5440.93,3975.5,175,1,0.06,0.022,20.03
3571.35,5384.36,3975.5,179,1.67,0.04,0.025,10.23
3574.88,5380.83,3975.5,179,1.49,0.03,0.038,6.22
3504.17,5458.61,3975.5,112,1.37,0.06,0.009,19.09
3507.71,5455.07,3975.5,112,1.28,0.07,0.005,22.92
3511.24,5451.54,3975.5,175,1.13,0.09,0.002,26.62
3500.64,5469.21,3975.5,112,1.51,0.05,0.012,22.06
3504.17,5465.68,3975.5,112,1.44,0.04,0.015,20.37
3507.71,5462.14,3975.5,112,1.33,0.04,0.016,17.32
3511.24,5458.61,3975.5,112,1.46,0.05,0.017,20.64
3500.64,5476.29,3975.5,112,2.05,0.06,0.012,22.19
3504.17,5472.75,3975.5,112,1.6,0.06,0.013,24.71
3507.71,5469.21,3975.5,112,1.41,0.05,0.03,24.47
3504.17,5479.82,3975.5,112,2.15,0.95,0.011,18.78
3507.71,5476.29,3975.5,112,1.75,0.21,0.041,17.9
3437,5179.3,3990.5,476,0.22,1.08,0.004,2.17
