ID,X,Y,Z,DIA
1,3921.949,5777.646,3945.500,2
1,3956.186,5791.038,3945.500,2
1,3972.994,5782.753,3945.500,2
1,3989.328,5763.104,3945.500,2
1,3998.088,5746.769,3945.500,2
1,3999.981,5720.491,3945.500,2
1,3997.377,5716.467,3945.500,2
1,3971.810,5706.287,3945.500,2
1,3971.252,5724.153,3945.500,2
1,3967.290,5740.921,3945.500,2
1,3958.620,5755.893,3945.500,2
1,3943.941,5768.367,3945.500,2
2,3874.880,5765.085,3945.500,1
2,3921.949,5777.646,3945.500,1
2,3943.941,5768.367,3945.500,1
2,3958.620,5755.893,3945.500,1
2,3967.290,5740.921,3945.500,1
2,3971.252,5724.153,3945.500,1
2,3971.810,5706.287,3945.500,1
2,3943.462,5694.256,3945.500,1
2,3945.417,5702.432,3945.500,1
2,3944.529,5716.804,3945.500,1
2,3939.776,5738.902,3945.500,1
2,3930.826,5744.510,3945.500,1
2,3927.900,5746.343,3945.500,1
2,3918.064,5747.517,3945.500,1
2,3910.896,5755.914,3945.500,1
2,3906.718,5760.391,3945.500,1
2,3896.770,5761.172,3945.500,1
2,3886.084,5763.728,3945.500,1
3,3780.624,5511.252,3945.500,1
3,3763.420,5504.491,3945.500,1
3,3736.057,5527.752,3945.500,1
3,3730.761,5553.075,3945.500,1
3,3743.988,5565.121,3945.500,1
3,3740.718,5546.191,3945.500,1
3,3770.435,5514.168,3945.500,1
4,3594.225,5504.164,3960.500,1
4,3616.516,5514.380,3960.500,1
4,3637.630,5521.748,3960.500,1
4,3657.337,5548.615,3960.500,1
4,3640.327,5564.258,3960.500,1
4,3605.388,5548.615,3960.500,1
4,3584.700,5521.010,3960.500,1
