ID,X,Y,Z,name,material
1,4442.996,5883.192,4260.500,36/07,M4B
2,4609.842,5667.656,4260.500,35/04,A
3,3064.913,5971.594,4560.500,01/01,C
4,3975.252,6249.084,4290.500,33/01,C
5,3290.811,6252.472,4560.500,19/01,C
6,3750.595,5506.589,3945.500,11/02,M1
7,4757.469,5733.799,4260.500,33/04,C
8,3466.757,6380.790,4575.500,21/04,C
9,3455.178,4485.973,4155.500,23/03,A
10,3139.150,6050.507,4560.500,17/02,A
11,4055.342,5402.321,3885.500,14/02,A
12,3913.679,5788.696,3945.500,13/02,M4B
13,3738.949,5663.743,3945.500,03/06,M1
14,4252.259,3283.145,4590.500,99/01,A
15,3981.326,5811.640,3945.500,13/05,M4B
16,4451.466,5882.520,4260.500,36/09,A
17,3610.605,5393.975,3960.500,27/08,A
18,3112.170,4931.904,4035.500,17/01,A
19,3909.705,5785.832,3945.500,13/01,M1
20,3627.854,5290.018,3975.500,06/01,M2
21,4388.788,6218.675,4275.500,15/02,C
22,3212.901,4999.721,4050.500,01/02,M2A
23,4641.886,4866.721,4260.500,19/04,C
24,2703.195,5639.497,4560.500,09/01,C
25,3841.353,5641.555,3945.500,06/02,M4B
26,4102.313,4605.945,4260.500,21/05,C
27,4703.844,4979.261,4260.500,19/03,A
28,3850.169,5636.485,3945.500,10/04,M4B
29,4937.761,6226.697,4455.500,01/03,C
30,3833.770,5546.086,3945.500,10/07,M1
31,3958.576,5660.441,3945.500,12/07,M1
32,3299.023,6370.926,4590.500,18/01,C
33,3065.875,6307.017,4590.500,05/03,B
34,3482.842,5122.766,4005.500,03/01,M2
35,3206.209,6135.470,4560.500,14/03,C
36,4484.262,4762.804,4245.500,01/02,C
37,4490.456,6153.642,4275.500,02/03,A
38,3160.814,6399.922,4590.500,33/01,B
39,4610.188,5305.821,4260.500,20/04,M4B
40,3004.011,6237.988,4590.500,10/06,M4B
41,3282.851,5011.596,4020.500,12/06,M4B
42,3263.502,4597.226,4155.500,27/01,A
43,4614.881,6122.911,4290.500,04/02,C
44,3150.312,6294.040,4575.500,22/02,A
45,3291.322,4522.398,4155.500,26/09,A
46,3829.113,5760.727,3945.500,08/06,M1
47,4563.915,4910.010,4245.500,05/01,C
48,3948.004,5558.694,3960.500,12/01,M1
49,3617.011,5620.469,3960.500,09/01,A
50,3193.202,4642.543,4155.500,28/03,M4B
51,2674.550,4442.288,4159.000,02/13,A
52,3505.863,4870.410,3885.500,10/08,A
53,2968.552,6204.096,4605.500,13/07,C
54,3609.498,5303.536,3975.500,06/06,M1
55,4632.613,5258.489,4260.500,23/03,A
56,3029.902,6232.570,4560.500,18/03,X
57,4412.276,5909.619,4260.500,36/08,M4B
58,3222.858,6224.382,4560.500,14/07,A
59,2925.450,5781.770,4545.500,01/01,C
60,3987.638,5382.378,3885.500,14/05,M1
61,3931.046,5621.250,3945.500,12/08,M1
62,3648.733,5257.295,3990.500,03/03,M2
63,4802.582,5449.270,4260.500,34/06,B
64,4553.971,6099.229,4275.500,02/01,A
65,3668.986,5637.897,3945.500,05/02,M4B
66,3250.127,6095.879,4575.500,17/05,C
