"x","y","z","hora"
3919.64,5687.68,3937.68,8
3920.96,5691.52,3937.72,8
3919.86,5693.44,3937.71,8
3917.14,5685.76,3937.71,8
3915.86,5682.56,3938.06,8
3916.04,5677.44,3938.02,8
3914.88,5681.92,3938.02,8
3888.32,5659.52,3938.06,8
3881.1,5664,3938.06,8
3883.92,5661.44,3938.06,8
3904.96,5664.64,3937.9,8
3909.52,5668.48,3937.9,8
3914.88,5681.92,3937.9,8
3886,5662.72,3937.83,8
3893.36,5661.44,3937.79,8
3904.72,5664.64,3937.79,8
3914.88,5681.92,3937.91,8
3912.24,5672.32,3937.91,8
3911.56,5671.68,3937.91,8
3881.26,5665.92,3937.87,8
3851.96,5723.52,3937.87,8
3897.64,5661.44,3937.93,8
3914.72,5678.72,3937.93,6
3913.08,5672.96,3937.93,6
3909.56,5667.84,3937.93,6
3913.6,5675.52,3937.96,6
3914.56,5678.72,3937.96,6
3904.08,5664,3937.96,6
3899.12,5662.08,3937.92,6
3893.76,5661.44,3937.92,6
3908.88,5667.84,3937.92,6
3912.56,5674.24,3937.94,6
3914.64,5678.08,3937.91,6
3886.28,5664,3937.91,6
3896.32,5663.36,3937.93,6
3888.2,5662.08,3937.92,6
3891.78,5661.44,3937.92,6
3900.06,5664,3937.93,6
3913.28,5676.8,3937.93,6
3896.32,5663.36,3937.93,6
3881.8,5665.92,3938.05,6
3888.26,5663.36,3938.05,6
3896.32,5663.36,3938.05,6
3885.48,5664,3938.05,6
3900.56,5664.64,3937.93,6
3893.84,5663.36,3937.93,6
3891.88,5662.72,3938.05,6
3889.4,5663.36,3938.05,6
3906.84,5669.76,3937.84,6
3890.92,5663.36,3938.05,6
3893.84,5663.36,3938.05,6
3908.62,5670.4,3938.05,6
3911.7,5674.88,3937.93,6
3909.12,5671.04,3937.93,6
3892.68,5664.64,3938.01,6
3907.8,5670.4,3938.01,6
3906,5669.12,3937.91,6
3908.86,5671.68,3937.91,6
3902.4,5666.56,3937.91,6
3903.8,5679.36,3937.59,4
3897.32,5674.88,3937.59,4
3922.4,5729.28,3937.58,4
3918.8,5739.52,3937.51,4
3921.88,5731.2,3937.59,4
3919.68,5731.2,3937.51,4
3914.44,5743.36,3937.51,4
3913.42,5744,3937.52,4
3915,5742.72,3937.52,4
3919.58,5736.32,3937.52,4
3906.28,5747.84,3937.48,4
3914.44,5743.36,3937.48,4
3925.64,5697.92,3937.84,4
3929.54,5704.32,3937.84,4
3927.8,5706.24,3937.73,4
3928.84,5711.36,3937.73,4
3928.8,5717.12,3937.73,4
3923.48,5696.64,3937.89,4
3929.54,5704.32,3937.89,4
3925.12,5697.92,3937.89,4
3925.48,5698.56,3937.86,4
3914.5,5692.16,3937.86,4
3930.64,5719.68,3937.79,4
3928.78,5723.52,3937.79,4
3926.92,5726.08,3937.79,4
3925.96,5706.88,3937.85,2
3916.78,5730.56,3937.85,2
3927.84,5712,3937.85,2
3926.2,5719.68,3937.85,2
3927.4,5714.56,3937.88,2
3924.04,5708.8,3937.86,2
3924.44,5713.28,3937.86,2
3923.52,5705.6,3937.94,2
3919.4,5697.28,3937.91,2
3924.52,5705.6,3937.91,2
3923.52,5705.6,3937.91,2
3923.64,5721.6,3937.93,2
3925.04,5718.4,3937.93,2
3925.48,5708.8,3937.93,2
3916.72,5695.36,3937.92,2
3919.78,5697.92,3937.91,2
3922.44,5701.12,3937.91,2
3923.44,5712,3937.91,2
3923.84,5713.28,3937.91,2
3923.48,5728,3937.93,11
3929.84,5721.6,3937.93,11
3933.12,5708.16,3937.93,11
3929.32,5697.92,3937.84,11
3924.76,5727.36,3937.97,11
3928.84,5699.84,3937.79,11
